0: ["2026高考数据参考   定目标选专业选大学", null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null]
1: ["年份", "生源地", "批次", " ", "院校代码", "院校名称", "院校专业组代码", "专业组代码", "专业代码", "专业名称", "专业备注", "选科要求", "录取人数", "最低分", "最低位次", "最高分", "最高位次"]
2: [2025, "吉林", "本科批", "历史", "1101", "北京大学", "1101006", "006", "006", "文科试验班类", "(国关)(社会学类)", "不限", 2, 671, 16, 673, 11]
3: [2025, "吉林", "本科批", "历史", "1101", "北京大学", "1101006", "006", "007", "文科试验班类", "(元培)(中国语言文学类、考古学、历史学类、哲学类、社会学类、法学、新闻传播学类、经济学类、工商管理类、公共管理类)", "不限", 1, 678, 11, 678, 11]
4: [2025, "吉林", "本科批", "历史", "1101", "北京大学", "1101006", "006", "008", "人文科学试验班", "(艺术史论)", "不限", 2, 667, 27, 669, 23]
5: [2025, "吉林", "本科批", "历史", "1101", "北京大学", "1101006", "006", "009", "哲学类", "(哲学、宗教学、哲学(科技哲学与逻辑学方向))", "不限", 2, 669, 23, 672, 12]
6: [2025, "吉林", "本科批", "历史", "1101", "北京大学", "1101006", "006", "010", "经济学类", "(经济学、金融学、国际经济与贸易、财政学)", "不限", 1, 697, 11, 697, 11]
7: [2025, "吉林", "本科批", "历史", "1101", "北京大学", "1101006", "006", "011", "法学", null, "不限", 3, 673, 11, 688, 11]
8: [2025, "吉林", "本科批", "历史", "1101", "北京大学", "1101006", "006", "012", "社会学类", "(社会学、社会工作)", "不限", 1, 669, 23, 669, 23]
9: [2025, "吉林", "本科批", "历史", "1101", "北京大学", "1101006", "006", "013", "中国语言文学类", "(汉语言文学、汉语言、古典文献学、应用语言学)", "不限", 1, 676, 11, 676, 11]
10: [2025, "吉林", "本科批", "历史", "1101", "北京大学", "1101006", "006", "014", "英语", "(只招英语考生)", "不限", 2, 668, 24, 669, 23]
11: [2025, "吉林", "本科批", "历史", "1101", "北京大学", "1101006", "006", "015", "新闻传播学类", "(新闻学、广播电视学、广告学)", "不限", 1, 670, 17, 670, 17]
12: [2025, "吉林", "本科批", "历史", "1101", "北京大学", "1101006", "006", "016", "历史学类", "(历史学(中国史)、世界史、外国语言与外国历史)", "不限", 1, 671, 16, 671, 16]
13: [2025, "吉林", "本科批", "历史", "1101", "北京大学", "1101006", "006", "017", "考古学", null, "不限", 1, 669, 23, 669, 23]
14: [2025, "吉林", "本科批", "历史", "1101", "北京大学", "1101006", "006", "018", "城乡规划", null, "不限", 1, 669, 23, 669, 23]
15: [2025, "吉林", "本科批", "历史", "1101", "北京大学", "1101006", "006", "019", "工商管理类", "(金融学、金融学(金融经济学)、会计学、市场营销)", "不限", 1, 678, 11, 678, 11]
